window_index,timestamp,close,signal,strategy_return,equity
0,2024-01-06 00:00:00,109.0846,0.0,0.0,1.0
0,2024-01-06 01:00:00,108.2722,0.0,-0.0,1.0
0,2024-01-06 02:00:00,109.0073,0.0,0.0,1.0
0,2024-01-06 03:00:00,109.0336,0.0,0.0,1.0
0,2024-01-06 04:00:00,109.0913,0.0,0.0,1.0
0,2024-01-06 05:00:00,109.9991,0.0,0.0,1.0
0,2024-01-06 06:00:00,110.5229,0.0,0.0,1.0
0,2024-01-06 07:00:00,110.5386,0.0,0.0,1.0
0,2024-01-06 08:00:00,111.6972,0.0,0.0,1.0
0,2024-01-06 09:00:00,112.1274,0.0,0.0,1.0
0,2024-01-06 10:00:00,111.3727,0.0,-0.0,1.0
0,2024-01-06 11:00:00,111.1771,0.0,-0.0,1.0
0,2024-01-06 12:00:00,110.8831,0.0,-0.0,1.0
0,2024-01-06 13:00:00,110.9219,0.0,0.0,1.0
0,2024-01-06 14:00:00,110.0961,0.0,-0.0,1.0
0,2024-01-06 15:00:00,108.4458,0.0,-0.0,1.0
0,2024-01-06 16:00:00,108.3885,0.0,-0.0,1.0
0,2024-01-06 17:00:00,107.4628,0.0,-0.0,1.0
0,2024-01-06 18:00:00,105.703,0.0,-0.0,1.0
0,2024-01-06 19:00:00,106.2002,0.0,0.0,1.0
0,2024-01-06 20:00:00,105.7268,0.0,-0.0,1.0
0,2024-01-06 21:00:00,106.0824,0.0,0.0,1.0
0,2024-01-06 22:00:00,105.5495,0.0,-0.0,1.0
0,2024-01-06 23:00:00,104.6715,0.0,-0.0,1.0
0,2024-01-07 00:00:00,103.5775,0.0,-0.0,1.0
0,2024-01-07 01:00:00,103.2462,0.0,-0.0,1.0
0,2024-01-07 02:00:00,102.8039,0.0,-0.0,1.0
0,2024-01-07 03:00:00,102.1401,0.0,-0.0,1.0
0,2024-01-07 04:00:00,101.8492,0.0,-0.0,1.0
0,2024-01-07 05:00:00,100.7819,0.0,-0.0,1.0
0,2024-01-07 06:00:00,100.7823,0.0,0.0,1.0
0,2024-01-07 07:00:00,99.1559,0.0,-0.0,1.0
0,2024-01-07 08:00:00,99.023,0.0,-0.0,1.0
0,2024-01-07 09:00:00,99.7158,0.0,0.0,1.0
0,2024-01-07 10:00:00,100.713,0.0,0.0,1.0
0,2024-01-07 11:00:00,102.3666,0.0,0.0,1.0
0,2024-01-07 12:00:00,100.9987,0.0,-0.0,1.0
0,2024-01-07 13:00:00,101.9199,0.0,0.0,1.0
0,2024-01-07 14:00:00,102.9489,0.0,0.0,1.0
0,2024-01-07 15:00:00,103.7672,0.0,0.0,1.0
0,2024-01-07 16:00:00,103.0043,0.0,-0.0,1.0
0,2024-01-07 17:00:00,103.6032,0.0,0.0,1.0
0,2024-01-07 18:00:00,105.2526,0.0,0.0,1.0
0,2024-01-07 19:00:00,103.9393,1.0,-0.012477601503430802,0.9875223984965692
0,2024-01-07 20:00:00,104.4606,1.0,0.005015427273418194,0.9924752452671003
0,2024-01-07 21:00:00,105.5982,1.0,0.010890230383513,1.0032835293379925
0,2024-01-07 22:00:00,104.7409,1.0,-0.008118509595807621,0.9951383623777462
0,2024-01-07 23:00:00,105.3628,1.0,0.005937508652303025,1.0010470050146028
0,2024-01-08 00:00:00,104.3495,1.0,-0.00961724631463845,0.9914196893948463
0,2024-01-08 01:00:00,103.892,1.0,-0.004384304668446082,0.987073003422243
0,2024-01-08 02:00:00,103.1193,1.0,-0.007437531282485699,0.9797316170811929
0,2024-01-08 03:00:00,103.3131,1.0,0.0018793766055433814,0.9815729017620465
0,2024-01-08 04:00:00,103.2721,1.0,-0.00039685189971083723,0.9811833626912775
0,2024-01-08 05:00:00,104.3262,1.0,0.010207016222193666,0.9911983171912139
0,2024-01-08 06:00:00,103.4466,1.0,-0.008431247376018636,0.9828412789802814
0,2024-01-08 07:00:00,103.3396,1.0,-0.001034350089804792,0.9818246770151043
0,2024-01-08 08:00:00,104.4332,1.0,0.010582584023936636,0.9922149191563912
0,2024-01-08 09:00:00,104.7577,0.0,0.0,0.9922149191563912
0,2024-01-08 10:00:00,103.5937,0.0,-0.0,0.9922149191563912
0,2024-01-08 11:00:00,104.6283,0.0,0.0,0.9922149191563912
1,2024-01-08 12:00:00,103.9515,0.0,0.0,1.0
1,2024-01-08 13:00:00,104.3308,0.0,0.0,1.0
1,2024-01-08 14:00:00,104.633,0.0,0.0,1.0
1,2024-01-08 15:00:00,105.8394,0.0,0.0,1.0
1,2024-01-08 16:00:00,106.0863,0.0,0.0,1.0
1,2024-01-08 17:00:00,104.4649,0.0,-0.0,1.0
1,2024-01-08 18:00:00,103.2611,0.0,-0.0,1.0
1,2024-01-08 19:00:00,103.8869,0.0,0.0,1.0
1,2024-01-08 20:00:00,103.5833,0.0,-0.0,1.0
1,2024-01-08 21:00:00,104.8347,0.0,0.0,1.0
1,2024-01-08 22:00:00,105.2544,0.0,0.0,1.0
1,2024-01-08 23:00:00,104.5853,0.0,-0.0,1.0
1,2024-01-09 00:00:00,105.4857,0.0,0.0,1.0
1,2024-01-09 01:00:00,104.9061,0.0,-0.0,1.0
1,2024-01-09 02:00:00,102.99,0.0,-0.0,1.0
1,2024-01-09 03:00:00,104.9304,0.0,0.0,1.0
1,2024-01-09 04:00:00,103.1428,0.0,-0.0,1.0
1,2024-01-09 05:00:00,103.8575,0.0,0.0,1.0
1,2024-01-09 06:00:00,104.7981,0.0,0.0,1.0
1,2024-01-09 07:00:00,104.9495,0.0,0.0,1.0
1,2024-01-09 08:00:00,103.5783,0.0,-0.0,1.0
1,2024-01-09 09:00:00,104.6532,0.0,0.0,1.0
1,2024-01-09 10:00:00,103.3496,0.0,-0.0,1.0
1,2024-01-09 11:00:00,102.0277,0.0,-0.0,1.0
1,2024-01-09 12:00:00,101.7095,0.0,-0.0,1.0
1,2024-01-09 13:00:00,102.477,0.0,0.0,1.0
1,2024-01-09 14:00:00,102.7646,0.0,0.0,1.0
1,2024-01-09 15:00:00,103.6455,0.0,0.0,1.0
1,2024-01-09 16:00:00,103.3349,0.0,-0.0,1.0
1,2024-01-09 17:00:00,103.2062,0.0,-0.0,1.0
1,2024-01-09 18:00:00,102.2338,0.0,-0.0,1.0
1,2024-01-09 19:00:00,101.9951,0.0,-0.0,1.0
1,2024-01-09 20:00:00,102.5499,0.0,0.0,1.0
1,2024-01-09 21:00:00,102.269,0.0,-0.0,1.0
1,2024-01-09 22:00:00,102.9936,0.0,0.0,1.0
1,2024-01-09 23:00:00,102.46,0.0,-0.0,1.0
1,2024-01-10 00:00:00,101.7812,0.0,-0.0,1.0
1,2024-01-10 01:00:00,101.8668,0.0,0.0,1.0
1,2024-01-10 02:00:00,101.7733,0.0,-0.0,1.0
1,2024-01-10 03:00:00,102.4184,0.0,0.0,1.0
1,2024-01-10 04:00:00,102.7514,0.0,0.0,1.0
1,2024-01-10 05:00:00,104.3433,0.0,0.0,1.0
1,2024-01-10 06:00:00,104.2011,1.0,-0.0013628091118452756,0.9986371908881547
1,2024-01-10 07:00:00,104.0485,1.0,-0.0014644759028454857,0.9971747107864137
1,2024-01-10 08:00:00,103.1643,1.0,-0.008497960085921519,0.9887007598954605
